indicado,senador,tema,pagina,codigo,macrocategoria,categoria
Ellen Gracie,José Fogaça (PMDB),Criação de Tribunais no Mercosul,4,28,Outros ramos do Direito (não penal),Direito internacional e tratados
Ellen Gracie,Lúcio Alcântara (PSDB),"Cotas/ações afirmativas, especialmente baseadas em gênero",5,19,Direitos fundamentais e minorias,Direitos de gênero
Ellen Gracie,Lúcio Alcântara (PSDB),Reforma do Judiciário,6,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Ellen Gracie,Ramez Tebet (PMDB),Composição do Supremo Tribunal Federal (quantidade de ministros),7,12,Organização e funcionamento do Judiciário,Composição e estrutura do STF
Ellen Gracie,Jefferson Péres (PDT),Súmula vinculante,8,13,Jurisdição constitucional e separação de poderes,Controle de constitucionalidade
Ellen Gracie,Jefferson Péres (PDT),Manifestação pública de magistrados,9,34,Organização e funcionamento do Judiciário,Manifestação pública de magistrados e decoro
Ellen Gracie,Emília Fernandes (PDT),Edição de medidas provisórias,11,11,Jurisdição constitucional e separação de poderes,Ativismo judicial e judicialização da política
Ellen Gracie,Emília Fernandes (PDT),Fortalecimento da Constituição e do Direito na sociedade,11,26,Perfil e conduta do indicado,Posicionamento filosófico
Ellen Gracie,José Arruda (PSDB),Morosidade do Judiciário,13,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Ellen Gracie,Pedro Simon (PMDB),Impunidade no Brasil,14/15,18,Outros ramos do Direito (não penal),Improbidade administrativa e combate à corrupção
Ellen Gracie,Romeu Tuma (PFL),Diminuição da maioridade penal,16,17,Direito penal e política criminal,Direito penal e processual penal
Ellen Gracie,Bernardo Cabral (PFL),Posicionamento que pretende adotar nos julgamentos do STF,19,8,Perfil e conduta do indicado,Conduta pessoal e reputação do indicado
Ellen Gracie,Carlos Patrocínio (PFL),Prodasen (Projeto Gleen),21,52,Casos e eventos específicos,Prodasen (Projeto Gleen)
Ellen Gracie,Agnelo Alves (PMDB),Edição de medidas liminares,21,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
Ellen Gracie,Agnelo Alves (PMDB),Demora na declaração do trânsito em julgado,22,14,Organização e funcionamento do Judiciário,Reforma do Judiciário e morosidade judicial
